h;PEL_subproblem_main;mHydr_direct_subproblem_main;mHydr_sell_subproblem_main;mHST_in_subproblem_main;mHST_out_subproblem_main;mHST_subproblem_main;EBESS_subproblem_main;PBESSc_subproblem_main;PBESSd_subproblem_main;Ppurch_subproblem_main;Psell_subproblem_main; PPV_subproblem_main; PWT_subproblem_main 
4574.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 193.3930;   0.0000;   0.0000;   0.0000;   0.0000;   1.7981;   9.0128;  17.9396
4575.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 197.3643;   0.0000;   0.0000;   0.0000;   0.0000;   0.5856;   8.3296;  17.4104
4576.0000;  22.9034; 458.9852; 500.0000;   0.0000;  41.0148; 155.0810;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   5.7033;  17.2001
4577.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000; 155.0810;   0.0000;   0.0000;   0.0000;   2.8680;   0.0000;   4.6716;  17.4104
4578.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000; 155.0810;   0.0000;   0.0000;   0.0000;   6.8887;   0.0000;   0.3319;  17.7293
4579.0000;  21.4630; 430.1193; 500.0000;   0.0000;  69.8807;  83.0390;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;  21.4630
4580.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  87.0104;   0.0000;   0.0000;   0.0000;   0.0000;   0.0967;   0.0000;  25.2510
4581.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  90.9818;   0.0000;   0.0000;   0.0000;   0.0000;   1.4125;   0.0000;  26.5668
4582.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  94.9531;   0.0000;   0.0000;   0.0000;   0.0000;   3.9137;   0.0000;  29.0680
4583.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  98.9245;   0.0000;   0.0000;   0.0000;   0.0000;   5.2114;   0.0000;  30.3657
4584.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 102.8958;   0.0000;   0.0000;   0.0000;   0.0000;   5.3673;   0.0000;  30.5216
4585.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 106.8672;   0.0000;   0.0000;   0.0000;   0.0000;   5.2948;   0.0000;  30.4491
4586.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 110.8385;   0.0000;   0.0000;   0.0000;   0.0000;   4.4067;   0.0000;  29.5610
4587.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 114.8099;   0.0000;   0.0000;   0.0000;   0.0000;   3.7252;   0.0000;  28.8795
4588.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 118.7813;   0.0000;   0.0000;   0.0000;   0.0000;   2.6812;   0.0000;  27.8355
4589.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 122.7526;   0.0000;   0.0000;   0.0000;   0.0000;   2.0614;   0.0000;  27.2157
4590.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 126.7240;   0.0000;   0.0000;   0.0000;   0.0000;   2.2462;   0.0000;  27.4005
4591.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 130.6953;   0.0000;   0.0000;   0.0000;   0.0000;   3.4868;   1.3493;  27.2918
4592.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 134.6667;   0.0000;   0.0000;   0.0000;   0.0000;   7.5218;   4.7355;  27.9406
4593.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 138.6380;   0.0000;   0.0000;   0.0000;   0.0000;  11.3314;   7.7657;  28.7200
4594.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 142.6094;   0.0000;   0.0000;   0.0000;   0.0000;  10.0073;   7.2173;  27.9443
4595.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 146.5807;   0.0000;   0.0000;   0.0000;   0.0000;   8.3233;   7.8025;  25.6751
4596.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 150.5521;   0.0000;   0.0000;   0.0000;   0.0000;   7.3275;   7.9775;  24.5043
4597.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 154.5235;   0.0000;   0.0000;   0.0000;   0.0000;   7.7042;  10.1667;  22.6918
4598.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 158.4948;   0.0000;   0.0000;   0.0000;   0.0000;   6.1261;  11.4523;  19.8282
4599.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 162.4662;   0.0000;   0.0000;   0.0000;   0.0000;   2.3834;   9.8083;  17.7293
4600.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 166.4375;   0.0000;   0.0000;   0.0000;   0.0000;   0.6168;   7.1464;  18.6247
4601.0000;  22.9277; 459.4738; 500.0000;   0.0000;  40.5262; 124.6580;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   4.8830;  18.0447
