h;PEL_subproblem_main;mHydr_direct_subproblem_main;mHydr_sell_subproblem_main;mHST_in_subproblem_main;mHST_out_subproblem_main;mHST_subproblem_main;EBESS_subproblem_main;PBESSc_subproblem_main;PBESSd_subproblem_main;Ppurch_subproblem_main;Psell_subproblem_main;PPV_subproblem_main;PWT_subproblem_main ;Balance P ;Balance H2
500;1086.6959;19405.2833;20000;0;594.7167;216.3918;0;0;0;139.3004;0;0;947.3955;0;9.09E-13
501;1122.0821;20000;20000;37.1807;0;252.4571;0;0;0;0;53.5118;0;1175.5939;0;0
502;1122.0821;20000;20000;37.1807;0;288.5224;0;0;0;0;178.482;0;1300.5641;0;0
503;1122.0821;20000;20000;37.1807;0;324.5877;0;0;0;0;315.6922;0;1437.7743;0;0
504;1122.0821;20000;20000;37.1807;0;360.653;0;0;0;0;356.4344;0;1478.5165;0;0
505;1122.0821;20000;20000;37.1807;0;396.7183;0;0;0;0;355.7086;0;1477.7907;0;0
506;1122.0821;20000;20000;37.1807;0;432.7835;0;0;0;0;366.0418;0;1488.1239;0;0
507;1122.0821;20000;20000;37.1807;0;468.8488;0;0;0;0;373.5416;0;1495.6237;0;0
508;1122.0821;20000;20000;37.1807;0;504.9141;0;0;0;0;353.4983;0;1475.5804;0;0
509;1122.0821;20000;20000;37.1807;0;540.9794;0;0;0;0;304.6113;0;1426.6934;0;0
510;1122.0821;20000;20000;37.1807;0;577.0447;0;0;0;0;270.4979;0.0417;1392.5383;0;0
511;1122.0821;20000;20000;37.1807;0;613.11;0;0;0;0;267.9152;1.9641;1388.0333;1.00E-04;0
512;1122.0821;20000;20000;37.1807;0;649.1753;0;0;0;0;294.4079;70.3333;1346.1567;0;0
513;1122.0821;20000;20000;37.1807;0;685.2406;0;0;0;0;348.3906;173.699;1296.7737;0;0
514;1122.0821;20000;20000;37.1807;0;721.3059;0;0;0;0;365.4342;190.1833;1297.333;0;0
515;1122.0821;20000;20000;37.1807;0;757.3712;0;0;0;0;389.217;226.5059;1284.7933;1.00E-04;0
516;1122.0821;20000;20000;37.1807;0;793.4365;0;0;0;0;274.4694;252.4801;1144.0715;1.00E-04;0
517;1122.0821;20000;20000;37.1807;0;829.5018;0;0;0;0;86.9899;258.4974;950.5747;1.00E-04;0
518;1120;20000;20000;0;0;829.5018;0;0;0;45.8956;0;266.1667;807.9377;0;0
519;1120;20000;20000;0;0;829.5018;0;0;0;149.3156;0;251.5091;719.1754;1.00E-04;0
520;1120;20000;20000;0;0;829.5018;0;0;0;116.076;0;222.4836;781.4404;0;0
521;1120;20000;20000;0;0;829.5018;0;0;0;125.3829;0;182.7453;811.8718;0;0
522;1120;20000;20000;0;0;829.5018;0;0;0;26.9944;0;163.7988;929.2068;0;0
523;1120;20000;20000;0;0;829.5018;0;0;0;132;0;0;988;0;0
524;1086.6959;19405.2833;20000;0;594.7167;216.3918;0;0;0;35.7348;0;0;1050.961;-1.00E-04;9.09E-13
525;1122.0821;20000;20000;37.1807;0;252.4571;0;0;0;0;146.467;0;1268.5491;0;0
526;1122.0821;20000;20000;37.1807;0;288.5224;0;0;0;0;270.2811;0;1392.3632;0;0
527;1122.0821;20000;20000;37.1807;0;324.5877;0;0;0;0;368.3213;0;1490.4035;1.00E-04;0
528;1122.0821;20000;20000;37.1807;0;360.653;0;0;0;0;388.3831;0;1510.4652;0;0
529;1122.0821;20000;20000;37.1807;0;396.7183;0;0;0;0;388.0014;0;1510.0835;0;0
530;1122.0821;20000;20000;37.1807;0;432.7835;0;0;0;0;376.5157;0;1498.5978;0;0
531;1122.0821;20000;20000;37.1807;0;468.8488;0;0;0;0;365.2722;0;1487.3543;0;0
532;1122.0821;20000;20000;37.1807;0;504.9141;0;0;0;0;357.4787;0;1479.5609;1.00E-04;0
533;1122.0821;20000;20000;37.1807;0;540.9794;0;0;0;0;310.8264;0;1432.9085;0;0
534;1122.0821;20000;20000;37.1807;0;577.0447;0;0;0;0;279.8012;0.0343;1401.8491;1.00E-04;0
535;1122.0821;20000;20000;37.1807;0;613.11;0;0;0;0;292.462;2.0154;1412.5287;0;0
536;1122.0821;20000;20000;37.1807;0;649.1753;0;0;0;0;327.0643;69.2971;1379.8494;1.00E-04;0
537;1122.0821;20000;20000;37.1807;0;685.2406;0;0;0;0;356.6858;173.7667;1305.0013;1.00E-04;0
538;1122.0821;20000;20000;37.1807;0;721.3059;0;0;0;0;361.5379;205.0903;1278.5298;1.00E-04;0
539;1122.0821;20000;20000;37.1807;0;757.3712;0;0;0;0;352.2226;241.1013;1233.2035;1.00E-04;0
540;1122.0821;20000;20000;37.1807;0;793.4365;0;0;0;0;233.0572;267.362;1087.7774;1.00E-04;0
541;1122.0821;20000;20000;37.1807;0;829.5018;0;0;0;0;49.599;254.0885;917.5926;0;0
542;1120;20000;20000;0;0;829.5018;0;0;0;86.2067;0;263.2304;770.5629;0;0
543;1120;20000;20000;0;0;829.5018;0;0;0;202.2924;0;253.1387;664.5689;0;0
544;1120;20000;20000;0;0;829.5018;0;0;0;185.7633;0;227.9034;706.3334;1.00E-04;0
545;1120;20000;20000;0;0;829.5018;0;0;0;178.3224;0;186.93;754.7476;0;0
546;1120;20000;20000;0;0;829.5018;0;0;0;97.503;0;158.6472;863.8498;0;0
547;1120;20000;20000;0;0;829.5018;0;0;0;228.3646;0;0;891.6354;0;0
548;1086.6959;19405.2833;20000;0;594.7167;216.3918;0;0;0;95.5769;0;0;991.1189;-1.00E-04;9.09E-13
549;1122.0821;20000;20000;37.1807;0;252.4571;0;0;0;0;67.8102;0;1189.8923;0;0
550;1122.0821;20000;20000;37.1807;0;288.5224;0;0;0;0;173.8616;0;1295.9437;0;0
551;1122.0821;20000;20000;37.1807;0;324.5877;0;0;0;0;287.7662;0;1409.8483;0;0
552;1122.0821;20000;20000;37.1807;0;360.653;0;0;0;0;300.1855;0;1422.2676;0;0
553;1122.0821;20000;20000;37.1807;0;396.7183;0;0;0;0;286.6932;0;1408.7753;0;0
554;1122.0821;20000;20000;37.1807;0;432.7835;0;0;0;0;308.9189;0;1431.001;0;0
555;1122.0821;20000;20000;37.1807;0;468.8488;0;0;0;0;320.579;0;1442.6612;1.00E-04;0
556;1122.0821;20000;20000;37.1807;0;504.9141;0;0;0;0;316.2443;0;1438.3264;0;0
557;1122.0821;20000;20000;37.1807;0;540.9794;0;0;0;0;267.7101;0;1389.7923;1.00E-04;0
